"filename", "language", "C++", "C", "comment", "blank", "total"
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\myloop.cpp", "C++", 229, 0, 125, 42, 396
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\myloop.h", "C++", 36, 0, 0, 10, 46
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\openlock.cpp", "C++", 143, 0, 71, 25, 239
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\openlock.h", "C++", 16, 0, 2, 4, 22
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\rfid.cpp", "C++", 0, 0, 138, 26, 164
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\rfid.h", "C++", 3, 0, 0, 2, 5
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\screens.c", "C", 0, 1082, 67, 21, 1170
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\screens.h", "C++", 94, 0, 0, 12, 106
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\structs.h", "C++", 10, 0, 0, 13, 23
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\styles.c", "C", 0, 5, 0, 4, 9
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\styles.h", "C++", 10, 0, 0, 6, 16
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui.c", "C", 0, 557, 1, 17, 575
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui.h", "C++", 20, 0, 0, 11, 31
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_font_111.c", "C", 0, 2272, 138, 139, 2549
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_font_222.c", "C", 0, 7520, 126, 127, 7773
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_font_30.c", "C", 0, 4240, 138, 139, 4517
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_goggles.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_goggles_grey_.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_helmet.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_helmet__grey_.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_reflective_clothing.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_reflective_clothing__grey_.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_toe_cap.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\ui_image_toe_cap_grey_.c", "C", 0, 812, 3, 7, 822
"d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\src\vars.h", "C++", 14, 0, 3, 12, 29
"Total", "-", 16284, 22183, 1586, 1049, 41102
